android.permission.MANAGE_AISEAL_VIRTUAL_MACHINE,[5]
android.permission.MANAGE_APP_FUNCTION_ACCESS,[5]
android.permission.MANAGE_ASSISTANT_AUDIO,[5]
android.permission.MANAGE_COMPUTER_CONTROL_CONSENT,[5]
android.permission.MANAGE_CONTACTS_PICKER_SESSION,[5]
android.permission.MANAGE_CONTEXTUAL_MODES,[5]
android.permission.MANAGE_DEVICE_POLICY_CONTENT_RESTRICTION_APPS,[5]
android.permission.MANAGE_DEVICE_POLICY_KEYGUARD_STATUS,[-]
android.permission.MANAGE_DEVICE_POLICY_LOCKSCREEN_MESSAGE,[5]
android.permission.MANAGE_DEVICE_POLICY_MANAGED_SUBSCRIPTIONS,[0]
android.permission.MANAGE_DEVICE_POLICY_MTE,[0]
android.permission.MANAGE_DEVICE_POLICY_NEARBY_COMMUNICATION,[0]
android.permission.MANAGE_DEVICE_POLICY_ORGANIZATION_IDENTITY,[0]
android.permission.MANAGE_DEVICE_POLICY_PACKAGE_STATE,[0]
android.permission.MANAGE_HEADLESS_SYSTEM_USER_ALLOWLISTS,[5]
android.permission.MANAGE_MULTIUSER_DEVICE_PROVISIONING_STATE,[5]
android.permission.MANAGE_READ_SCREEN_CONTEXT_REQUEST,[5]
android.permission.MANAGE_SERIAL_PORTS,[5]
android.permission.MANAGE_SUPERVISION,[1]
android.permission.MODIFY_HANDOFF_SETTINGS,[1]
android.permission.OVERRIDE_MEDIA_SESSION_OWNER,[1]
android.permission.PERFORM_GESTURE_EXCHANGE,[1]
android.permission.PERSONAL_CONTEXT_HOST_INSIGHT_SURFACE,[5]
android.permission.PERSONAL_CONTEXT_PUBLISH_HINTS,[5]
android.permission.PERSONAL_CONTEXT_PUBLISH_INSIGHTS,[5]
android.permission.PERSONAL_CONTEXT_READ_SETTINGS,[5]
android.permission.PERSONAL_CONTEXT_RECEIVE_HINTS,[5]
android.permission.PERSONAL_CONTEXT_RECEIVE_INSIGHTS,[5]
android.permission.PERSONAL_CONTEXT_WRITE_SETTINGS,[5]
android.permission.POST_BRIDGED_NOTIFICATIONS,[5]
android.permission.POST_PROMOTED_NOTIFICATIONS,[5]
android.permission.PROVIDE_HEALTH_CONNECT_DEVICE_DATA,[5]
android.permission.PROVIDE_PRIVATE_COMPUTE_SERVICES,[5]
android.permission.QUERY_ALLOWLIST,[5]
android.permission.QUERY_DOMAIN_VERIFICATION,[5]
android.permission.READ_APP_INTERACTION,[5]
android.permission.READ_ASSIST_STRUCTURE_SCREEN_CONTENT,[5]
android.permission.READ_HANDOFF_SETTINGS,[5]
android.permission.READ_LOCATION_BYPASS_ALLOWLIST,[5]
android.permission.READ_MEDIA_DOCUMENTS,[-]
android.permission.READ_MOISTURE_INTRUSION,[-]
android.permission.READ_REMOTE_TASKS,[5]
android.permission.READ_UPDATE_ENGINE_LOGS,[5]
android.permission.REMOTE_MULTISENSORY_PLAYBACK,[-]
android.permission.REPOSITION_SELF_WINDOWS,[-]
android.permission.REQUEST_COMPANION_PROFILE_MEDICAL,[5]
android.permission.REQUEST_COMPANION_PROFILE_VIRTUAL_DEVICE,[5]
android.permission.REQUEST_LOCATION_BUTTON_PERMISSIONS,[-]
android.permission.REQUEST_SYSTEM_MULTITASKING_CONTROLS,[-]
android.permission.REQUEST_TASK_HANDOFF,[5]
android.permission.SCHEDULE_DELAYED_RESTORE,[-]
android.permission.SEND_DYNAMIC_INSTRUMENTATION_EVENTS,[5]
android.permission.SET_CONTENT_PROTECTION_ALLOWLIST,[5]
android.permission.SET_DEVELOPER_VERIFICATION_USER_RESPONSE,[1]
android.permission.SHOW_POWER_MENU,[1]
android.permission.SHOW_POWER_MENU_PRIVILEGED,[1]
android.permission.SIGN_WITH_TRUST_TOKEN,[5]
android.permission.TEST_LOCK_APPS,[5]
android.permission.UPDATE_THEME_SETTINGS,[5]
android.permission.USE_ICC_AUTH,[5]
android.permission.USE_LOCATION_BUTTON,[5]
android.permission.USE_LOOPBACK_INTERFACE,[5]
android.permission.USE_PINNED_WINDOWING_LAYER,[5]
android.permission.USE_VIBRATOR_HAPTIC_GENERATOR,[5]
android.permission.WARM_UP_CAMERA,[5]
